Date,Open,High,Low,Close,Adj Close,Volume
2010-02-20,28.905714,29.309999,27.958570,29.231428,25.305573,649702900
2010-02-27,29.392857,31.385714,29.350000,31.278572,27.077780,688588600
2010-03-06,31.430000,32.532856,31.127142,32.371429,28.023863,692097700
2010-03-13,32.197144,32.349998,31.464285,31.750000,27.485895,573230700
2010-03-20,31.495714,33.135715,31.450001,32.985714,28.555645,709947700
2010-03-27,33.285713,34.104286,33.088570,33.709999,29.182661,525464800
2010-04-03,33.568573,34.560001,33.538570,34.541428,29.902428,666799700
2010-04-10,34.599998,35.877144,34.444286,35.342857,30.596218,542661000
2010-04-17,35.290001,38.882858,34.538570,38.689999,33.493832,969505600
2010-04-24,38.840000,38.922855,36.630001,37.298573,32.289265,762029800
2010-05-01,37.691429,38.268570,28.464285,33.694286,29.169060,1255786000
2010-05-08,35.750000,37.857143,35.504284,36.259998,31.390186,961667000
2010-05-15,36.385715,36.935715,33.049999,34.617142,29.967972,1269511600
2010-05-22,35.325714,37.057144,33.880001,36.697144,31.768623,1033699100
2010-05-29,37.098572,37.991428,36.375713,36.565716,31.654835,743358000
2010-06-05,36.898571,37.021427,34.599998,36.215714,31.351847,1016114400
2010-06-12,36.565716,39.285713,36.287144,39.152859,33.894520,907297300
2010-06-19,39.669998,39.858570,37.972858,38.099998,32.983074,881607300
2010-06-26,38.132858,38.535713,34.742859,35.277142,30.539333,1043620900
2010-07-03,35.857143,37.557144,35.165714,37.088570,32.107479,610314600
2010-07-10,36.932858,37.407143,35.204285,35.700001,30.905407,1107643600
2010-07-17,35.697144,37.878571,34.228573,37.134285,32.147045,1115951900
2010-07-24,37.142857,37.998573,36.414288,36.750000,31.814383,654331300
2010-07-31,37.205715,37.754284,36.804287,37.155716,32.165604,500019800
2010-08-07,37.354286,37.450001,35.160000,35.585712,30.806463,566223000
2010-08-14,35.368572,36.381428,35.231430,35.662857,30.873240,472925600
2010-08-21,35.970001,36.000000,33.651428,34.517143,29.881397,657092800
2010-08-28,34.394287,36.968571,34.335712,36.967144,32.002354,609332500
2010-09-04,36.662857,38.074287,36.607143,37.630001,32.576195,423806600
2010-09-11,37.974285,39.708572,37.931427,39.338570,34.055305,628219900
2010-09-18,39.439999,41.932858,39.407143,41.759998,36.151516,836911600
2010-09-25,41.997143,42.104286,39.285713,40.360001,34.939545,777263900
2010-10-02,40.228573,42.071430,39.681427,42.009998,36.367954,668735200
2010-10-09,42.105713,45.000000,41.784286,44.962856,38.924232,743470000
2010-10-16,45.495716,45.571430,42.860001,43.924286,38.025139,992914300
2010-10-23,44.155716,44.514286,42.981430,42.997143,37.222515,541489200
2010-10-30,43.174286,45.740002,43.171429,45.304287,39.219810,592477200
2010-11-06,45.314285,45.900002,43.375713,44.004284,38.094391,551665100
2010-11-13,44.065716,44.362858,42.537144,43.818573,37.933628,605010000
2010-11-20,43.811428,45.385715,43.695713,45.000000,38.956387,390958400
2010-11-27,45.071430,45.571430,44.410000,45.348572,39.258148,553581000
2010-12-04,45.520000,46.284286,45.301430,45.794285,39.643997,429633400
2010-12-11,46.338570,46.437141,45.571430,45.801430,39.650185,479273900
2010-12-18,45.942856,46.531429,45.461430,46.228573,40.019943,282760800
2010-12-25,46.121429,46.665714,45.901428,46.080002,39.891342,234970400
2011-01-01,46.520000,48.049999,46.405716,48.017143,41.568314,405524700
2011-01-08,48.404285,49.782856,48.167141,49.782856,43.096882,450219700
2011-01-15,47.074287,49.799999,46.571430,46.674286,40.405804,1133950300
2011-01-22,46.695713,49.371429,46.674286,48.014286,41.565842,626377500
2011-01-29,47.971428,49.528572,47.757141,49.500000,42.852013,444618300
2011-02-05,49.698570,51.428570,49.662857,50.978573,44.132027,661232600
2011-02-12,50.970001,52.128571,49.931427,50.080002,43.354118,605597300
2011-02-19,48.878571,49.775715,48.245716,49.737144,43.057316,606082400
2011-02-26,50.177143,51.470001,49.668571,51.428570,44.521584,603964200
2011-03-05,51.628571,51.667141,49.271427,50.284286,43.530972,583591400
2011-03-12,50.454285,50.925713,46.608570,47.238571,40.894302,932921500
2011-03-19,47.998573,50.294285,47.894287,50.220001,43.475327,490485800
2011-03-26,50.450001,50.617142,49.042858,49.222858,42.612103,421085700
2011-04-02,49.187141,49.228573,47.707142,47.865715,41.437222,524084400
2011-04-09,47.722858,48.020000,46.685715,46.779999,40.497334,481553100
2011-04-16,46.585712,50.732857,45.737144,50.099998,43.371437,620938500
2011-04-23,50.048573,50.712856,49.360001,50.018570,43.300945,582215900
2011-04-30,49.962856,50.261429,49.357143,49.522858,42.871822,440353900
2011-05-07,49.694286,50.000000,48.621429,48.642857,42.109985,367738700
2011-05-14,48.457142,48.915714,47.247143,47.888573,41.457008,459006100
2011-05-21,47.138573,48.365715,47.060001,48.201427,41.727859,356477800
2011-05-28,48.728573,50.304287,48.714287,49.062859,42.473591,406117600
2011-06-04,49.385715,49.578571,46.501427,46.557144,40.304398,508623500
2011-06-11,46.742859,47.607143,45.475716,45.751427,39.606884,547212400
2011-06-18,45.337143,47.592857,44.357143,46.621429,40.360050,631044400
2011-06-25,46.798573,49.071430,46.750000,49.037144,42.451332,436231600
2011-07-02,49.000000,51.428570,48.928570,51.387142,44.485714,422244200
2011-07-09,50.905716,52.142857,49.802856,52.131428,45.130054,550230800
2011-07-16,52.204285,56.610001,52.182858,56.185715,48.639839,844100600
2011-07-23,55.764286,57.785713,54.857143,55.782856,48.291065,738082800
2011-07-30,56.825714,57.071430,51.795715,53.374287,46.205975,1015220500
2011-08-06,51.669998,54.234287,50.431427,53.855713,46.622749,1094004800
2011-08-13,54.232857,54.995716,50.857143,50.861427,44.030621,757169700
2011-08-20,52.072857,54.828571,50.727142,54.797142,47.437740,832810300
2011-08-27,55.454285,56.011429,53.118572,53.435715,46.259155,532110600
2011-09-03,52.481430,55.515713,52.354286,53.925713,46.683350,460311600
2011-09-10,53.285713,57.214287,53.128571,57.214287,49.530254,639862300
2011-09-17,56.714287,60.408573,56.457142,57.757141,50.000210,930087200
2011-09-24,57.122856,58.464287,54.454285,54.474285,47.158245,768434800
2011-10-01,54.338570,54.968571,50.605713,52.828571,45.733555,1009321600
2011-10-08,54.155716,60.285713,54.029999,60.285713,52.189182,667510200
2011-10-15,60.248573,60.957142,55.821430,56.124287,48.586658,960555400
2011-10-22,56.597141,58.428570,56.164288,57.849998,50.080601,551594400
2011-10-29,57.488571,58.475716,56.174286,57.177143,49.498108,497064400
2011-11-05,57.130001,58.285713,54.322857,54.945713,47.566364,656985000
2011-11-12,54.788570,55.877144,53.554287,53.562859,46.369225,516191200
2011-11-19,52.914288,53.990002,51.902859,51.938572,44.963081,385008400
2011-11-26,53.192856,56.232857,52.885715,55.671429,48.194618,473610900
2011-12-03,56.212856,56.630001,55.251427,56.231430,48.679405,404726000
2011-12-10,55.954285,56.485714,53.954285,54.431427,47.121143,431140500
2011-12-17,54.638573,57.655716,54.354286,57.618572,49.880241,326862900
2011-12-24,57.585712,58.441429,57.215714,57.857143,50.086784,222344500
2011-12-31,58.485714,60.392857,58.428570,60.342857,52.238651,287951300
2012-01-07,60.785713,61.107143,59.808571,59.972858,51.918343,326478600
2012-01-14,60.599998,61.624287,59.964287,60.042858,51.978935,298850300
2012-01-21,60.381428,64.921425,59.935715,63.897144,55.315582,608927200
2012-01-28,63.672855,65.714287,63.627144,65.668571,56.849113,378616700
2012-02-04,65.482857,71.088570,65.457146,70.488571,61.021763,622260800
2012-02-11,71.361427,75.184288,69.518570,71.731430,62.097710,991022900
2012-02-18,72.411430,74.699997,72.017143,74.629997,64.607010,517999300
2012-02-25,74.472855,78.315712,73.754288,77.882858,67.422981,803740700
2012-03-03,77.917145,78.248573,73.745712,77.881432,67.421776,838315100
2012-03-10,78.425713,85.715714,78.142860,83.652855,72.418053,1125546800
2012-03-17,85.481430,87.092857,84.150002,85.150002,73.714111,854074900
2012-03-24,85.684288,88.778572,85.037140,85.650002,74.146996,799402100
2012-03-31,85.975716,90.665718,85.768570,90.525711,78.367867,661797500
